,device,time,phase,file
0,111,1408.85,A,14
1,111,2347.884,A,24
2,111,5122.767,A,52
3,111,6035.534,A,61
4,111,8838.85,A,89
5,111,9736.734,A,99
6,111,12555.084,A,128
7,127,12726.617,A,129
8,207,12726.617,A,129
9,127,12746.284,A,130
10,207,12746.301,A,130
11,111,13442.1,A,137
12,204,13641.967,B,139
13,204,13738.6,B,140
14,204,15027.801,B,153
15,111,16300.1,A,166
16,111,17190.967,A,175
17,111,20051.784,A,205
18,155,20608.034,B,211
19,157,20611.784,B,211
20,111,20702.85,A,212
21,111,20711.517,A,212
22,111,20716.651,A,212
23,111,20719.867,A,212
24,118,20791.334,B,213
25,149,20791.767,B,213
26,128,20795.651,B,213
27,111,21071.834,A,216
28,156,21358.1,A,219
29,156,21484.884,A,220
30,149,21487.551,B,220
31,152,21520.034,B,220
32,159,21531.95,B,220
33,123,21537.484,B,220
34,129,21547.6,B,220
35,129,21553.084,B,221
36,129,21555.867,B,221
37,129,22824.651,B,234
38,123,22825.551,B,234
39,128,22853.984,B,234
40,128,22859.517,B,234
41,128,22863.167,B,234
42,159,22872.317,B,234
43,152,22888.634,B,234
44,150,23470.767,B,240
45,158,23563.784,A,241
46,111,23926.234,A,245
47,128,24231.884,B,248
48,150,24456.534,B,251
49,158,24480.284,A,251
50,151,24485.834,B,251
51,111,24577.917,A,252
52,111,24585.234,A,252
53,157,24751.634,B,254
54,157,24770.217,B,254
55,152,24776.817,B,254
56,159,24787.134,B,254
57,159,24796.034,B,254
58,156,24866.017,A,255
59,156,24898.35,A,255
60,157,24924.017,B,255
61,152,24926.45,B,256
62,147,24942.401,A,256
63,207,24942.401,A,256
64,111,24959.684,A,256
65,128,25731.017,B,264
66,128,25736.534,B,264
67,128,25740.784,B,264
68,157,25920.184,B,266
69,111,26226.067,A,269
70,111,26234.684,A,269
71,111,27470.234,A,282
72,101,27498.001,B,282
73,102,27498.084,B,282
74,149,27513.667,B,282
75,120,27526.117,B,282
76,140,27529.234,B,282
77,149,27664.95,B,284
78,112,27700.767,B,284
79,111,27747.301,A,285
80,111,27755.95,A,285
81,118,27854.317,B,286
82,140,28262.134,B,290
83,151,28296.1,B,290
84,140,28373.617,B,291
85,147,28420.551,A,292
86,207,28420.551,A,292
87,111,28514.45,A,293
88,111,28651.867,A,294
89,111,28658.584,A,294
90,111,29094.95,A,299
91,111,29114.384,A,299
92,111,29169.284,A,299
93,111,29173.867,A,299
94,111,29474.834,A,303
95,111,29482.267,A,303
96,111,29829.2,A,306
97,111,29833.6,A,306
98,111,29849.017,A,306
99,111,29857.251,A,307
100,111,30023.184,A,308
101,111,30036.517,A,308
102,111,30135.417,A,309
103,111,30139.234,A,309
104,111,30149.001,A,310
105,111,30172.634,A,310
106,111,30175.95,A,310
107,111,30210.567,A,310
108,111,30213.917,A,310
109,111,30222.45,A,310
110,111,30225.084,A,310
111,152,30327.567,B,311
112,159,30342.017,B,312
113,123,30355.051,B,312
114,129,30365.184,B,312
115,111,31336.017,A,322
116,129,33341.184,B,343
117,123,33341.717,B,343
118,159,33351.784,B,343
119,152,33362.384,B,343
120,155,33410.85,B,344
121,157,33411.217,B,344
122,149,33435.367,B,344
123,156,33438.034,A,344
124,156,33479.45,A,344
125,140,33486.284,B,344
126,152,33913.884,B,349
127,159,33924.901,B,349
128,159,33934.35,B,349
129,112,33958.617,B,349
130,111,34049.667,A,350
131,159,34054.084,B,350
132,135,34086.734,B,351
133,135,34125.617,B,351
134,159,34155.167,B,351
135,152,34172.001,B,351
136,204,34487.051,B,355
137,111,34976.051,A,360
138,204,35178.417,B,362
139,204,36237.334,B,373
140,155,36344.267,B,374
141,111,36369.551,A,374
142,111,36375.017,A,374
143,128,36431.984,B,375
144,158,36526.151,A,376
145,159,37084.1,B,381
146,123,37089.6,B,382
147,129,37099.734,B,382
148,111,37463.051,A,385
149,111,38398.334,A,395
150,128,38470.417,B,396
151,128,38475.95,B,396
152,128,38479.6,B,396
153,156,38493.767,A,396
154,158,38509.984,A,396
155,140,39088.117,B,402
156,140,39097.934,B,402
157,140,39199.384,B,403
158,156,39619.117,A,408
159,140,39630.401,B,408
160,140,40367.251,B,416
161,140,40377.051,B,416
162,209,40434.417,B,416
163,209,40451.35,B,416
164,140,40478.767,B,417
165,155,40574.867,B,418
166,118,40591.117,B,418
167,140,40602.034,B,418
168,102,40730.35,B,419
169,101,40730.367,B,419
170,111,41063.45,A,423
171,111,41984.2,A,432
172,111,44703.151,A,461
173,111,45583.367,A,470
174,101,47836.484,B,493
175,102,47836.501,B,493
176,129,47867.651,B,493
177,123,47868.217,B,493
178,159,47918.167,B,494
179,152,47936.901,B,494
180,102,47961.801,B,494
181,101,47961.817,B,494
182,111,48324.534,A,498
183,111,49205.584,A,507
184,101,50502.967,B,521
185,102,50502.984,B,521
186,155,50518.767,B,521
187,111,50524.784,A,521
188,111,50528.834,A,521
189,111,50545.317,A,521
190,111,50547.834,A,521
191,155,50577.084,B,521
192,157,50578.484,B,521
193,157,50589.517,B,521
194,102,50620.584,B,522
195,101,50620.6,B,522
196,204,50922.134,B,525
197,111,51837.434,A,534
198,111,52723.401,A,543
199,131,53871.051,B,555
200,131,53878.751,B,555
201,131,53879.284,B,555
202,131,53880.634,B,555
203,131,53882.35,B,555
204,131,53885.684,B,556
205,131,53887.334,B,556
206,131,53890.634,B,556
207,131,53892.017,B,556
208,131,53894.651,B,556
209,131,53896.617,B,556
210,131,53899.717,B,556
211,131,53901.45,B,556
212,131,53903.651,B,556
213,131,53905.884,B,556
214,131,53908.584,B,556
215,131,53910.501,B,556
216,131,53912.417,B,556
217,131,53914.784,B,556
218,131,53917.217,B,556
219,131,53919.251,B,556
220,131,53921.051,B,556
221,131,53923.667,B,556
222,131,53926.067,B,556
223,131,53928.167,B,556
224,131,53929.867,B,556
225,131,53932.584,B,556
226,131,53934.901,B,556
227,131,53937.067,B,556
228,131,53938.734,B,556
229,131,53941.617,B,556
230,131,53943.85,B,556
231,131,53946.1,B,556
232,131,53947.7,B,556
233,131,53950.634,B,556
234,131,53952.801,B,556
235,131,53955.134,B,556
236,131,53956.684,B,556
237,131,53959.7,B,556
238,131,53960.184,B,556
239,131,54011.784,B,557
240,131,54014.151,B,557
241,131,54050.984,B,557
242,131,54053.367,B,557
243,102,54078.867,B,558
244,101,54078.884,B,558
245,131,54088.051,B,558
246,131,54090.417,B,558
247,157,54092.134,B,558
248,131,54124.884,B,558
249,131,54127.217,B,558
250,131,54161.917,B,558
251,131,54164.284,B,558
252,131,54199.134,B,559
253,131,54201.467,B,559
254,131,54236.284,B,559
255,131,54238.617,B,559
256,140,54608.684,B,563
257,140,54618.467,B,563
258,140,54720.217,B,564
259,157,54769.534,B,565
260,157,54997.651,B,567
261,155,55230.467,B,569
262,111,55451.417,A,572
263,156,55682.817,A,574
264,156,55814.217,A,575
265,140,55838.2,B,576
266,111,56316.634,A,581
267,155,56414.384,B,582
268,157,56430.617,B,582
269,101,56483.751,B,582
270,102,56483.751,B,582
271,111,59065.084,A,609
272,111,59946.684,A,618
273,131,61763.134,B,637
274,131,61770.734,B,637
275,131,61771.217,B,637
276,131,61772.584,B,637
277,131,61774.301,B,637
