	start	end
234	22799.100083	22895.499917
152	14871.300083	14968.099917
387	37566.500083	37662.699917
227	22126.050083	22222.199917
121	11870.700083	11967.499917
211	20583.100083	20679.899917
350	33989.350083	34085.899917
087	8546.500083	8645.549917
019	1810.200083	1909.299917
069	6763.600083	6862.649917
145	14193.700083	14290.499917
158	15452.100083	15548.899917
396	38432.300083	38528.499917
235	22895.500083	22992.149917
084	8249.350083	8348.399917
021	2008.400083	2107.499917
301	29271.400083	29367.999917
168	16420.100083	16516.899917
191	18647.050083	18743.849917
016	1512.900083	1611.999917
398	38624.750083	38720.999917
307	29851.000083	29947.599917
081	7952.200083	8051.249917
026	2503.950083	2603.099917
169	16516.900083	16613.699917
266	25890.850083	25987.499917
356	34569.350083	34666.199917
289	28112.500083	28208.999917
132	12935.300083	13032.099917
097	9536.950083	9635.999917
299	29078.250083	29174.849917
232	22606.800083	22702.949917
086	8447.450083	8546.499917
138	13516.100083	13612.899917
222	21645.300083	21741.449917
250	24345.150083	24441.749917
002	104.100083	205.599917
022	2107.500083	2206.599917
165	16129.700083	16226.499917
264	25697.450083	25794.149917
068	6664.550083	6763.599917
009	814.600083	916.099917
176	17194.650083	17291.449917
198	19324.650083	19421.449917
306	29754.400083	29850.999917
348	33796.250083	33892.849917
159	15548.900083	15645.699917
357	34666.200083	34763.049917
343	33313.500083	33409.899917
099	9735.050083	9834.049917
330	32064.200083	32160.299917
248	24151.900083	24248.549917
142	13903.300083	14000.099917
204	19905.450083	20002.249917
376	36504.800083	36601.549917
349	33892.850083	33989.349917
312	30334.100083	30430.349917
161	15742.500083	15839.299917
083	8150.300083	8249.349917
208	20292.700083	20389.499917
080	7853.150083	7952.199917
082	8051.250083	8150.299917
284	27630.150083	27726.549917
175	17097.800083	17194.649917
385	37374.100083	37470.299917
278	27050.650083	27147.299917
334	32448.600083	32544.699917
010	916.100083	1017.199917
361	35053.550083	35150.349917
100	9834.050083	9933.149917
313	30430.350083	30526.499917
394	38239.900083	38336.099917
202	19711.850083	19808.649917
040	3890.950083	3989.999917
276	26857.350083	26953.999917
366	35537.300083	35634.049917
085	8348.400083	8447.449917
074	7258.850083	7357.899917
123	12064.300083	12161.099917
268	26084.150083	26180.799917
321	31199.250083	31295.399917
346	33603.150083	33699.699917
023	2206.600083	2305.699917
154	15064.900083	15161.699917
143	14000.100083	14096.899917
008	713.100083	814.599917
337	32736.900083	32832.999917
305	29657.800083	29754.399917
173	16904.100083	17000.949917
302	29368.000083	29464.599917
144	14096.900083	14193.699917
146	14290.500083	14387.299917
101	9933.150083	10031.499917
342	33217.400083	33313.499917
374	36311.250083	36408.049917
103	10128.300083	10225.099917
362	35150.350083	35247.049917
197	19227.850083	19324.649917
386	37470.300083	37566.499917
381	36988.600083	37085.399917
328	31872.000083	31968.099917
273	26567.400083	26664.049917
352	34182.450083	34279.149917
335	32544.700083	32640.799917
011	1017.200083	1116.349917
223	21741.450083	21837.599917
147	14387.300083	14484.099917
256	24924.600083	25021.199917
327	31775.900083	31871.999917
093	9140.750083	9239.799917
254	24731.550083	24828.099917
279	27147.300083	27243.949917
225	21933.750083	22029.899917
392	38047.500083	38143.699917
298	28981.650083	29078.249917
230	22414.500083	22510.649917
332	32256.400083	32352.499917
325	31583.700083	31679.799917
300	29174.850083	29271.399917
162	15839.300083	15936.099917
062	6070.250083	6169.299917
303	29464.600083	29561.199917
370	35924.200083	36020.949917
095	9338.850083	9437.899917
304	29561.200083	29657.799917
309	30044.200083	30140.799917
236	22992.150083	23088.799917
246	23958.600083	24055.249917
296	28788.450083	28885.049917
311	30237.450083	30334.099917
390	37855.100083	37951.299917
036	3494.750083	3593.799917
238	23185.450083	23282.099917
240	23378.750083	23475.399917
118	11580.300083	11677.099917
079	7754.100083	7853.149917
314	30526.500083	30622.649917
218	21259.500083	21356.049917
310	30140.800083	30237.449917
