,device,time,phase,file
0,111,1408.85,A,0
1,111,2347.884,A,0
2,111,5122.767,A,0
3,111,6035.534,A,0
4,111,8838.85,A,0
5,111,9736.734,A,0
6,111,12555.084,A,0
7,127,12726.617,A,0
8,207,12726.617,A,0
9,127,12746.284,A,0
10,207,12746.301,A,0
11,111,13442.1,A,0
12,204,13641.967,B,0
13,204,13738.6,B,0
14,204,15027.801,B,0
15,111,16300.1,A,0
16,111,17190.967,A,0
17,111,20051.784,A,0
18,155,20608.034,B,0
19,157,20611.784,B,0
20,111,20702.85,A,0
21,111,20711.517,A,0
22,111,20716.651,A,0
23,111,20719.867,A,0
24,118,20791.334,B,0
25,149,20791.767,B,0
26,128,20795.651,B,0
27,111,21071.834,A,0
28,156,21358.1,A,0
29,156,21484.884,A,0
30,149,21487.551,B,0
31,152,21520.034,B,0
32,159,21531.95,B,0
33,123,21537.484,B,0
34,129,21547.6,B,0
35,129,21553.084,B,0
36,129,21555.867,B,0
37,129,22824.651,B,0
38,123,22825.551,B,0
39,128,22853.984,B,0
40,128,22859.517,B,0
41,128,22863.167,B,0
42,159,22872.317,B,0
43,152,22888.634,B,0
44,150,23470.767,B,0
45,158,23563.784,A,0
46,111,23926.234,A,0
47,128,24231.884,B,0
48,150,24456.534,B,0
49,158,24480.284,A,0
50,151,24485.834,B,0
51,111,24577.917,A,0
52,111,24585.234,A,0
53,157,24751.634,B,0
54,157,24770.217,B,0
55,152,24776.817,B,0
56,159,24787.134,B,0
57,159,24796.034,B,0
58,156,24866.017,A,0
59,156,24898.35,A,0
60,157,24924.017,B,0
61,152,24926.45,B,0
62,147,24942.401,A,0
63,207,24942.401,A,0
64,111,24959.684,A,0
65,128,25731.017,B,0
66,128,25736.534,B,0
67,128,25740.784,B,0
68,157,25920.184,B,0
69,111,26226.067,A,0
70,111,26234.684,A,0
71,111,27470.234,A,0
72,101,27498.001,B,0
73,102,27498.084,B,0
74,149,27513.667,B,0
75,120,27526.117,B,0
76,140,27529.234,B,0
77,149,27664.95,B,0
78,112,27700.767,B,0
79,111,27747.301,A,0
80,111,27755.95,A,0
81,118,27854.317,B,0
82,140,28262.134,B,0
83,151,28296.1,B,0
84,140,28373.617,B,0
85,147,28420.551,A,0
86,207,28420.551,A,0
87,111,28514.45,A,0
88,111,28651.867,A,0
89,111,28658.584,A,0
90,111,29094.95,A,0
91,111,29114.384,A,0
92,111,29169.284,A,0
93,111,29173.867,A,0
94,111,29474.834,A,0
95,111,29482.267,A,0
96,111,29829.2,A,0
97,111,29833.6,A,0
98,111,29849.017,A,0
99,111,29857.251,A,0
100,111,30023.184,A,0
101,111,30036.517,A,0
102,111,30135.417,A,0
103,111,30139.234,A,0
104,111,30149.001,A,0
105,111,30172.634,A,0
106,111,30175.95,A,0
107,111,30210.567,A,0
108,111,30213.917,A,0
109,111,30222.45,A,0
110,111,30225.084,A,0
111,152,30327.567,B,0
112,159,30342.017,B,0
113,123,30355.051,B,0
114,129,30365.184,B,0
115,111,31336.017,A,0
116,129,33341.184,B,0
117,123,33341.717,B,0
118,159,33351.784,B,0
119,152,33362.384,B,0
120,155,33410.85,B,0
121,157,33411.217,B,0
122,149,33435.367,B,0
123,156,33438.034,A,0
124,156,33479.45,A,0
125,140,33486.284,B,0
126,152,33913.884,B,0
127,159,33924.901,B,0
128,159,33934.35,B,0
129,112,33958.617,B,0
130,111,34049.667,A,0
131,159,34054.084,B,0
132,135,34086.734,B,0
133,135,34125.617,B,0
134,159,34155.167,B,0
135,152,34172.001,B,0
136,204,34487.051,B,0
137,111,34976.051,A,0
138,204,35178.417,B,0
139,204,36237.334,B,0
140,155,36344.267,B,0
141,111,36369.551,A,0
142,111,36375.017,A,0
143,128,36431.984,B,0
144,158,36526.151,A,0
145,159,37084.1,B,0
146,123,37089.6,B,0
147,129,37099.734,B,0
148,111,37463.051,A,0
149,111,38398.334,A,0
150,128,38470.417,B,0
151,128,38475.95,B,0
152,128,38479.6,B,0
153,156,38493.767,A,0
154,158,38509.984,A,0
155,140,39088.117,B,0
156,140,39097.934,B,0
157,140,39199.384,B,0
158,156,39619.117,A,0
159,140,39630.401,B,0
160,140,40367.251,B,0
161,140,40377.051,B,0
162,209,40434.417,B,0
163,209,40451.35,B,0
164,140,40478.767,B,0
165,155,40574.867,B,0
166,118,40591.117,B,0
167,140,40602.034,B,0
168,102,40730.35,B,0
169,101,40730.367,B,0
170,111,41063.45,A,0
171,111,41984.2,A,0
172,111,44703.151,A,0
173,111,45583.367,A,0
174,101,47836.484,B,0
175,102,47836.501,B,0
176,129,47867.651,B,0
177,123,47868.217,B,0
178,159,47918.167,B,0
179,152,47936.901,B,0
180,102,47961.801,B,0
181,101,47961.817,B,0
182,111,48324.534,A,0
183,111,49205.584,A,0
184,101,50502.967,B,0
185,102,50502.984,B,0
186,155,50518.767,B,0
187,111,50524.784,A,0
188,111,50528.834,A,0
189,111,50545.317,A,0
190,111,50547.834,A,0
191,155,50577.084,B,0
192,157,50578.484,B,0
193,157,50589.517,B,0
194,102,50620.584,B,0
195,101,50620.6,B,0
196,204,50922.134,B,0
197,111,51837.434,A,0
198,111,52723.401,A,0
199,131,53871.051,B,0
200,131,53878.751,B,0
201,131,53879.284,B,0
202,131,53880.634,B,0
203,131,53882.35,B,0
204,131,53885.684,B,0
205,131,53887.334,B,0
206,131,53890.634,B,0
207,131,53892.017,B,0
208,131,53894.651,B,0
209,131,53896.617,B,0
210,131,53899.717,B,0
211,131,53901.45,B,0
212,131,53903.651,B,0
213,131,53905.884,B,0
214,131,53908.584,B,0
215,131,53910.501,B,0
216,131,53912.417,B,0
217,131,53914.784,B,0
218,131,53917.217,B,0
219,131,53919.251,B,0
220,131,53921.051,B,0
221,131,53923.667,B,0
222,131,53926.067,B,0
223,131,53928.167,B,0
224,131,53929.867,B,0
225,131,53932.584,B,0
226,131,53934.901,B,0
227,131,53937.067,B,0
228,131,53938.734,B,0
229,131,53941.617,B,0
230,131,53943.85,B,0
231,131,53946.1,B,0
232,131,53947.7,B,0
233,131,53950.634,B,0
234,131,53952.801,B,0
235,131,53955.134,B,0
236,131,53956.684,B,0
237,131,53959.7,B,0
238,131,53960.184,B,0
239,131,54011.784,B,0
240,131,54014.151,B,0
241,131,54050.984,B,0
242,131,54053.367,B,0
243,102,54078.867,B,0
244,101,54078.884,B,0
245,131,54088.051,B,0
246,131,54090.417,B,0
247,157,54092.134,B,0
248,131,54124.884,B,0
249,131,54127.217,B,0
250,131,54161.917,B,0
251,131,54164.284,B,0
252,131,54199.134,B,0
253,131,54201.467,B,0
254,131,54236.284,B,0
255,131,54238.617,B,0
256,140,54608.684,B,0
257,140,54618.467,B,0
258,140,54720.217,B,0
259,157,54769.534,B,0
260,157,54997.651,B,0
261,155,55230.467,B,0
262,111,55451.417,A,0
263,156,55682.817,A,0
264,156,55814.217,A,0
265,140,55838.2,B,0
266,111,56316.634,A,0
267,155,56414.384,B,0
268,157,56430.617,B,0
269,101,56483.751,B,0
270,102,56483.751,B,0
271,111,59065.084,A,0
272,111,59946.684,A,0
273,131,61763.134,B,0
274,131,61770.734,B,0
275,131,61771.217,B,0
276,131,61772.584,B,0
277,131,61774.301,B,0
278,131,61777.551,B,0
279,131,61779.251,B,0
280,131,61782.501,B,0
281,131,61783.85,B,0
282,131,61786.251,B,0
283,131,61788.151,B,0
284,131,61790.967,B,0
285,131,61792.584,B,0
286,131,61794.817,B,0
287,131,61797.134,B,0
288,131,61799.7,B,0
289,131,61801.45,B,0
290,131,61803.501,B,0
291,131,61806.084,B,0
292,131,61808.567,B,0
293,131,61810.501,B,0
294,131,61812.417,B,0
295,131,61815.167,B,0
296,131,61817.517,B,0
297,131,61819.6,B,0
298,131,61821.367,B,0
299,131,61824.234,B,0
300,131,61826.467,B,0
301,131,61828.7,B,0
302,131,61830.384,B,0
303,131,61833.35,B,0
304,131,61835.517,B,0
305,131,61837.767,B,0
306,131,61839.35,B,0
307,131,61842.301,B,0
308,131,61842.817,B,0
309,131,61892.617,B,0
310,131,61895.034,B,0
311,131,61931.901,B,0
312,131,61934.284,B,0
313,131,61969.167,B,0
314,131,61971.534,B,0
315,131,62006.251,B,0
316,131,62008.634,B,0
317,131,62043.667,B,0
318,131,62046.034,B,0
319,131,62081.301,B,0
320,131,62083.684,B,0
321,131,62119.317,B,0
322,131,62121.684,B,0
323,111,62685.367,A,0
324,204,62776.2,B,0
325,156,63351.967,A,0
326,156,63398.617,A,0
327,140,63439.634,B,0
328,140,63449.384,B,0
329,149,63464.234,B,0
330,140,63551.234,B,0
331,111,63558.367,A,0
332,204,65120.1,B,0
333,111,66319.034,A,0
334,111,67189.534,A,0
335,111,69953.417,A,0
336,156,70284.817,A,0
337,156,70382.884,A,0
338,149,70385.934,B,0
339,118,70409.117,B,0
340,128,70409.551,B,0
341,111,70822.184,A,0
342,127,71824.034,A,0
343,207,71824.034,A,0
344,207,71842.801,A,0
345,127,71842.817,A,0
346,111,73612.434,A,0
347,111,74484.251,A,0
348,155,74695.967,B,0
349,108,74720.134,A,0
350,108,74860.2,A,0
351,128,74974.117,B,0
352,156,75432.001,A,0
353,128,75508.6,B,0
354,150,75533.584,B,0
355,1001,75637.034,A,0
356,1002,76311.467,A,0
357,132,76555.367,A,0
358,132,76701.551,A,0
359,1003,76720.217,A,0
360,1004,76739.567,A,0
361,156,76739.784,A,0
362,150,76807.384,B,0
363,149,76871.167,B,0
364,111,77035.684,A,0
365,111,77041.85,A,0
366,111,77144.217,A,0
367,111,77155.734,A,0
368,111,77157.901,A,0
369,155,77216.734,B,0
370,120,77857.501,B,0
371,120,77887.167,B,0
372,111,78137.934,A,0
373,128,78338.967,B,0
374,204,79466.017,B,0
375,120,79881.067,B,0
376,140,79884.1,B,0
377,112,79975.134,B,0
378,156,80371.417,A,0
379,111,80927.417,A,0
380,140,81156.317,B,0
381,140,81165.884,B,0
382,156,81233.567,A,0
383,140,81267.567,B,0
384,140,81343.384,B,0
385,120,81469.734,B,0
386,140,81469.751,B,0
387,140,81478.167,B,0
388,112,81561.034,B,0
389,140,81579.617,B,0
390,103,81601.167,B,0
391,103,81614.051,B,0
392,103,81670.867,B,0
393,103,81683.334,B,0
394,111,81826.617,A,0
395,103,81951.95,B,0
396,118,82322.017,B,0
397,111,84632.934,A,0
398,111,85517.001,A,0
399,111,88403.6,A,0
400,111,89289.35,A,0
401,111,92125.084,A,0
402,111,93001.251,A,0
403,111,95872.484,A,0
404,111,96731.967,A,0
405,111,99622.901,A,0
406,111,100483.084,A,0
407,204,101520.367,B,0
408,111,103390.2,A,0
409,111,104225.817,A,0
410,118,105589.934,B,0
411,149,105589.934,B,0
412,128,105596.467,B,0
413,149,107038.184,B,0
414,156,107064.517,A,0
415,156,107127.584,A,0
416,111,107137.834,A,0
417,155,107167.7,B,0
418,111,107175.834,A,0
419,111,107180.034,A,0
420,152,107184.667,B,0
421,1005,107195.834,B,0
422,123,107225.984,B,0
423,129,107236.1,B,0
424,111,108009.551,A,0
425,128,108532.917,B,0
426,118,110660.2,B,0
427,111,110833.784,A,0
428,111,111708.917,A,0
429,129,113659.534,B,0
430,123,113660.067,B,0
431,1006,113676.6,B,0
432,152,113689.017,B,0
433,157,113693.017,B,0
434,151,113712.967,B,0
435,149,113718.484,B,0
436,128,113732.401,B,0
437,118,113732.417,B,0
438,111,114508.517,A,0
439,111,115398.034,A,0
440,149,115677.884,B,0
441,156,115679.817,A,0
442,156,115808.934,A,0
443,101,115821.767,B,0
444,102,115821.767,B,0
445,209,116060.017,B,0
446,209,116061.417,B,0
447,128,117092.7,B,0
448,111,118008.95,A,0
449,111,118015.017,A,0
450,111,118042.617,A,0
451,111,118047.034,A,0
452,111,118072.234,A,0
453,111,118112.967,A,0
454,111,118116.417,A,0
455,111,118169.617,A,0
456,111,118174.367,A,0
457,152,118238.917,B,0
458,159,118250.534,B,0
459,111,118275.534,A,0
460,111,118278.467,A,0
461,123,118302.651,B,0
462,129,118312.784,B,0
463,118,119210.467,B,0
464,111,119222.834,A,0
465,204,119500.017,B,0
466,111,121868.917,A,0
467,111,122807.867,A,0
468,209,124324.584,B,0
469,209,124331.417,B,0
470,156,125089.134,A,0
471,156,125172.467,A,0
472,151,125176.6,B,0
473,155,125246.467,B,0
474,157,125291.067,B,0
475,111,125450.1,A,0
476,1007,125872.667,A,0
477,1008,125907.717,A,0
478,129,125974.2,B,0
479,123,125974.667,B,0
480,159,126137.1,B,0
481,152,126157.35,B,0
482,101,126199.784,B,0
483,102,126199.784,B,0
484,151,126204.584,B,0
485,149,126230.001,B,0
486,111,126324.751,A,0
487,149,127508.45,B,0
488,151,128089.584,B,0
489,101,128090.467,B,0
490,102,128090.467,B,0
491,155,128110.367,B,0
492,111,128123.651,A,0
493,111,128127.917,A,0
494,111,128130.117,A,0
495,111,128133.301,A,0
496,111,128142.551,A,0
497,111,128145.1,A,0
498,111,128152.717,A,0
499,111,128155.034,A,0
500,155,128194.484,B,0
501,152,128199.2,B,0
502,159,128210.017,B,0
503,123,128238.334,B,0
504,129,128248.467,B,0
505,111,128720.684,A,0
506,111,129609.801,A,0
507,129,131517.067,B,0
508,123,131517.551,B,0
509,159,131524.317,B,0
510,152,131534.017,B,0
511,101,131555.651,B,0
512,102,131555.651,B,0
513,156,131585.767,A,0
514,156,131660.934,A,0
515,127,131759.117,A,0
516,207,131759.117,A,0
517,207,131777.534,A,0
518,127,131777.551,A,0
519,111,132263.017,A,0
520,111,133144.551,A,0
521,111,135876.534,A,0
522,111,136736.301,A,0
523,111,139493.35,A,0
524,111,140344.917,A,0
525,111,143124.6,A,0
526,111,143965.617,A,0
527,111,146777.084,A,0
528,111,147612.2,A,0
529,111,150464.367,A,0
530,111,151264.334,A,0
531,204,151649.284,B,0
532,204,151759.95,B,0
533,204,151911.367,B,0
534,111,154107.267,A,0
535,111,154938.484,A,0
536,111,157810.184,A,0
537,111,158654.567,A,0
538,118,159530.35,B,0
539,128,159530.35,B,0
540,152,160083.984,B,0
541,1009,160096.734,B,0
542,1010,160107.167,B,0
543,152,160119.151,B,0
544,128,161381.667,B,0
545,111,161494.867,A,0
546,111,162357.501,A,0
547,118,163420.151,B,0
548,155,164772.484,B,0
549,111,164822.967,A,0
550,111,164826.567,A,0
551,111,165119.634,A,0
552,211,165158.001,B,0
553,211,165259.617,B,0
554,211,165585.2,B,0
555,211,165689.417,B,0
556,211,165740.667,B,0
557,211,165825.617,B,0
558,211,165875.217,B,0
559,211,165972.35,B,0
560,111,166006.7,A,0
561,211,166019.7,B,0
562,211,166118.051,B,0
563,211,166166.717,B,0
564,211,166270.251,B,0
565,211,166318.584,B,0
566,211,166421.784,B,0
567,211,166469.2,B,0
568,211,166575.1,B,0
569,211,166621.067,B,0
570,211,166727.984,B,0
571,211,166775.267,B,0
572,211,166877.084,B,0
573,211,166883.284,B,0
574,111,168725.751,A,0
575,155,168761.284,B,0
576,211,168765.167,B,0
577,103,168822.367,B,0
578,103,168835.217,B,0
579,103,168932.434,B,0
580,103,168944.901,B,0
581,103,169213.517,B,0
582,111,169672.717,A,0
583,155,170029.717,B,0
584,112,170038.434,B,0
585,211,170057.034,B,0
586,120,170057.084,B,0
587,140,170064.95,B,0
588,211,170615.917,B,0
589,211,170666.267,B,0
590,140,170679.551,B,0
591,140,170689.35,B,0
592,211,170729.6,B,0
593,209,170761.534,B,0
594,211,170786.534,B,0
595,140,170794.35,B,0
596,209,170806.234,B,0
597,211,170846.634,B,0
598,211,170867.534,B,0
599,149,170937.934,B,0
600,118,170940.417,B,0
601,128,170944.334,B,0
602,140,170986.35,B,0
603,211,171071.967,B,0
604,211,171117.784,B,0
605,211,171196.467,B,0
606,211,171244.484,B,0
607,211,171317.7,B,0
608,211,171370.634,B,0
609,211,171441.801,B,0
610,211,171498.034,B,0
611,211,171568.917,B,0
612,211,171623.151,B,0
613,211,171690.367,B,0
614,211,171749.85,B,0
615,211,171817.467,B,0
616,211,171875.017,B,0
617,211,171943.217,B,0
618,211,172003.317,B,0
619,211,172068.734,B,0
620,211,172130.151,B,0
621,211,172197.117,B,0
622,211,172257.484,B,0
623,1200,172293.301,A,0
624,1201,172296.401,A,0
625,156,172296.6,A,0
626,111,172300.084,A,0
627,211,172318.584,B,0
628,211,172379.984,B,0
629,156,172409.984,A,0
630,211,172442.434,B,0
631,211,172503.2,B,0
632,211,172564.301,B,0
633,211,172622.417,B,0
634,211,172684.801,B,0
635,211,172747.901,B,0
636,211,172809.584,B,0
637,211,172873.35,B,0
638,211,172936.7,B,0
639,211,172999.034,B,0
640,211,173060.834,B,0
641,211,173123.501,B,0
642,211,173187.517,B,0
643,211,173248.95,B,0
644,211,173312.017,B,0
645,211,173377.334,B,0
646,211,173437.784,B,0
647,211,173501.217,B,0
648,211,173561.917,B,0
649,211,173626.617,B,0
